fsd_no;fsd_vr;fsd_id;syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;k2;k3;k5_9;k41a;k41a_1;k41b;k41b_1;k41c;k41c_1;k21c_1;k21c_4;k21c_5;k21c_6;k26_1;k26_2;k26_3;k20b_1;k20b_2;k20b_3;k20b_5;k20b_7;k32a;k33_1;k33_2;k33_3;k33_4;k33_5;k33_7;k33_6;k33_8;k9a_07;k9a_07c;k9a_07b;k9a_09b;k9a_10b;k13_1;k13_2;k22_6;k22_8;k22_10;k20a_02;k20a_09;k21b_1;k21b_2;k52a;k52b;k52c;k53;k21b_4;k46a;k46b;k47;k48;k11a_1;k11a_2;k11a_3;k11a_4;k42e;k42a;k43a;k43e;k43g;k21c_8;k21c_9;k28a;k28b;k32;k55;k56a;k56b;k56c;k56d;k57a;k57b;k57c;k22_1;k22_2;k23;k24;k25_1;k25_4;k25_6;k25_7;k25_8;k25_9;k40;tb_paino
3493;1;1373;1990;29;3;2;1;1; ;3;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;9;2;2;1;3;2; ;2; ;3;3;3;2;3;2;2;3;3;3;2;3;1;2;2;2;2;2;2;2;2;3;3;2;1;1;1; ;1;1;1;1;2;2; ;2;2;2;2;3;1;1;2;2;2;2;3;3;2;3;5;4;5;4;3;1;1;4;3;2;2;3;1;4;4;3;4;4;2;3;3;2;1;2;2;7;2;1,10423527927511
3493;1;1374;1969;50;8;2;1;1; ;2;1; ;3; ;1; ;2;2;40;2;2;0;0;0;0;2; ; ;3;2;2;2; ;2; ;2; ;1;4;4;1;2;1;2;4;2;4;4;4;2;2;2;1;2;2;2; ;1;1;3;1;1;1;1; ;1;1;3;1;1;1;10;2;2;1;1;3;1;2;2;1;3;3;4;3;1;2;4;2;5;3;1;3;4;3;5;5;4;4;4;3;3;3;3;3;2;4;2;2;2;3;3;5;2;,786887905907636
3493;1;1375;1964;55;8;2;1;1; ;3;2; ;4; ;1; ;2;2;50;2;2;0;0;0;0;2; ; ;4;1;2;1;3;1;1;2; ;1;1;1;1;4;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;3;1;2;1; ;2; ;2;1;4;1;20;2;1;1;1;1;1;1;1;1;3;3;3;3;1;1;4;3;1;4;3;2;2;3;4;3;2;3;1;4;5;4;3;3;2;3;3;3;3;3;5;7;1;,91872243274069
3493;1;1376;1954;65;10;2;1;1; ;5;2; ;4; ;2; ;2;1;19;2;2;0;0;0;0;2; ; ;2;2;3;2; ;2; ;1;3;3;2;1;1;2;1;2;2;1;5;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;2; ;1;2;2;2; ;2;2;2;2;1;1;2;2;1;3;1;1;4;2;1;5;5;5;2;2;2;2;10;3;3;1;1;1;4;4;4;4;4;1;3;3;3;3;3;3;8;2;,77834437842331
3493;1;1377;1989;30;4;2;1;1; ;2;3; ;2; ;1; ;2;2;41;2;2;0;0;0;0;2; ; ;9;1;1;1;3;1;3;1;2;2;2;1;2;2;2;3;2;1;2;1;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;2;1;3;1;1;2;2;2;1;2;2;1;2;1;3;2;1;3;3;4;4;1;2;1;2;2;1;3;2;3;2;3;4;3;4;4;2;2;3;3;3;3;2;8;2;1,02640870778951
3493;1;1378;1969;50;8;2;1;1; ;2;2; ;4; ;1; ;2;2;39;2;2;0;0;0;0;2; ; ;5;1;1;1;3;1;2;2; ;2;2;2;1;3;2;2;2;2;1;2;3;1;2;2;2;2;1;1;2;2;2;1;2;2;2;1; ;2; ;1;1;4;1;7;2;1;1;1;1;1;2;1;1;2;3;3;3;2;1;5;4;3;3;2;1;1;4;2;3;2;2;2;4;5;3;4;4;1;3;3;3;3;3;3;8;2;,806927709293502
3493;1;1379;1971;48;7;2;1;1; ;2;3; ;1; ;1; ;2;2;42;2;2;0;0;0;0;2; ; ;9;1;1;2; ;1;3;2; ;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;1;1;2;1;3;2;1;1;1;1;1;2;2;1;3;3;3;3;1;3;3;4;4;4;2;1;2;5;2;3;2;3;2;3;3;3;3;3;3;3;4;3;3;3;3;8;1;,840895861255144
3493;1;1380;1967;52;8;2;1;1; ;5;3; ;2; ;1; ;2;2;74;1;2;1;0;4,42857142857141;0;2; ; ;7;1;2;1;3;2; ;1;3;2;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;2;1;1;1;1;1;1;1; ;2; ;1;1;2;1;1;2;2;2;2;2;2;1;2;2;3;4;3;4;2;1;5;5;5;1;4;1;3;14;3;2;3;3;3;4;4;4;4;4;2;3;3;3;3;3;3;9;2;,874463777734339
3493;1;1381;1997;22;2;2;1;1; ;5;2; ;4; ;2; ;2;2;28;2;2;0;0;0;0;2; ; ;4;1;2;2; ;1;2;1;3;2;2;3;1;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2; ;2;2;2;2;3;3;1; ;1;1;2;1;2;2; ;1;1;1;1;1;1;1;1;1;3;2;2;3;1;2;5;4;5;3;3;1;1;14;2;2;1;2;2;2;5;3;4;4;1;3;3;1;2;3;2;9;2;1,71199919151105
3493;1;1382;1987;32;4;2;1;1; ;5;3; ;2; ;1; ;2;1;39;2;2;0;0;0;0;2; ; ;7;2;2;1;2;1;2;1;2;3;2;2;1;1;1;1;2;2;3;2;3;1;1;2;1;2;2;2;2;2;2;1;2;2;1;1; ;1;1;1;1;2;1;4;2;1;2;2;1;1;2;2;1;3;4;4;3;2;2;4;3;4;2;2;2;2;33;3;3;2;3;2;4;4;3;4;3;1;4;4;4;2;2;3;8;2;1,11398457961617
3493;1;1383;1993;26;3;2;1;1; ;3;2; ;4; ;1; ;2;1;39;1;2;8;0;35,4285714285719;0;2; ; ;6;2;2;1;1;1;1;1;1;2;2;3;1;2;1;1;2;1;2;2;3;1;2;2;2;2;2;2;2;2;2;2;3;3;3;1; ;1;2;2;1;3;1;7;2;1;1;1;1;1;2;2;1;3;2;3;4;2;1;5;2;5;1;1;1;1;5;4;2;2;2;2;4;4;4;3;3;1;3;3;3;3;3;4;8;2;1,10423527927511
3493;1;1384;1963;56;9;2;1;1; ;3;2; ;4; ;1; ;2;1;39;2;2;0;0;0;0;2; ; ;4;2;1;2; ;1;2;2; ;1;2;5;2;2;2;1;2;1;3;3;3;1;1;1;2;2;1;2;2;1;2;1;3;3;3;1; ;1;1;3;1;4;1;1;2;2;2;2;3;2;2;2;2;4;4;4;4;2;1;5;5;5;1;2;1;2;4;2;3;2;3;1;4;4;3;3;3;2;3;3;2;2;3;3;4;2;,724336423075852
3493;1;1385;1993;26;3;2;1;1; ;4;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;2;2;2;1;3;1;2;2; ;2;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;2;1;5;2;2;1;2;1;1;2;1;1;3;2;2;3;2;2;5;4;4;4;2;1;2;5;4;3;2;4;2;3;3;4;3;3;2;3;3;2;2;2;3;7;2;1,15824323462257
3493;1;1386;1959;60;10;2;1;1; ;3;2; ;4; ;2; ;2;2;21;2;2;0;0;0;0;2; ; ;5;1;2;1;1;1;2;1;2;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2; ;2;2;1;2;3;1;1; ;1;1;3;1;3;1;3;2;2;2;2;1;1;1;2;1;2;2;2;3;2;2;5;4;4;4;1;2;3;7;3;4;4;4;2;3;4;4;4;4;3;2;4;3;2;3;3;8;2;,744376226461718
3493;1;1387;1966;53;8;2;2;1; ;4;3; ;2; ; ; ;2; ; ; ; ; ; ;0;0; ; ; ;99;2;2;2; ;2; ;2; ;1;1;2;5;1;1;2;2;1;2;1;3;2;2;2;2;2;2;2; ;2;1;1;2;1;1;1; ;2; ;3;2;3;2; ;2;1;1;1;2;1;2;1;2;2;2;4;3;2;4;4;4;4;3;3;2;2;0;2;2;3;1;1;4;3;4;4;4;2;4;4;3;3;3;3;1;2;,864714477393233
3493;1;1388;1970;49;7;2;1;1; ;4;3; ;2; ;1; ;2;2;37;2;2;0;0;0;0;2; ; ;6;2;2;1;3;2; ;2; ;4;2;2;2;2;1;1;2;3;2;2;3;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;1;3;1;3;2; ;2;2;2;2;2;2;2;1;2;3;1;4;2;2;3;5;5;5;4;3;1;1;5;2;2;3;3;2;3;3;2;4;3;2;3;4;3;2;3;4;8;2;,864714477393233
