fsd_no;fsd_vr;fsd_id;tb_paino;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_6;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K51A;K51B;K51C;K51D;K51E;K51F;K51G;K51H;K51I;K51J;K51K;K51K_muu;K52a;K52b;K52c;K21B_30;K53;K21B_4;K46a;K46b;K47;K47_1;K47_2;K47_4;K47_5;K47_6;K47_7;K48;K50;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K22_1;K22_2;K22_3;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K25_9;K54a;K54b;K54c;K40
3482;1;909;,896933504798884;1961;57;9;2;1;1;3;9;2; ;4;1;1;17;2;2;32;2;2;0;0;0;0;2; ; ;3;1;2;1;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;1;3;2;2;2;2;2;2;2;2; ;2;2;2;2;1;1;1; ;1;2;1;1;4;1;20;2;2;2;2;2;1;1;2;1;1;2; ;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;3;3;4;4;2;1;5;4;3;2;3;3;3;10;4;4;4;1;3;2;2;2;2;3;7;2;4;4;2
3482;1;910;,925145482306121;1965;53;8;2;1;1;3;7;3; ;1;1;1;3;2;2;40;2;2;0;0;0;0;2; ; ;1;2;2;2; ;2; ;2; ;4;1;1;1;2;2;2;1;2;2;2;4;1;2;2;2;2;2;2;2; ;2;3;3;3;1;1;2;1;2; ;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1;2;2;2; ; ; ; ; ; ;2;3;2;2;2;3;1;4;5;5;4;2;4;1;1;1;3;3;4;2;2;2;3;2;2;3;7;2;4;4;2
3482;1;911;,893590365123836;1964;54;8;2;1;1;2;4;1; ;3;1;1;12;2;2;37;2;2;0;0;0;0;2; ; ;1;2;2;1;2;1;2;1;2;3;3;3;3;2;2;3;3;3;3;2;2;3;1;2;1;1;2;1;1;2;2;1;1;2;3;1;2;1;1;1;1;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;3;3;3;4;1;1;3;2;1;2;4;3;1;1;4;3;3;3;2;3;4;3;3;3;4;8;1;1;3;2
3482;1;912;1,21245900649255;1984;34;4;2;1;1;3;5;3; ;2;2;1;0;2;2;30;2;2;0;0;0;0;2; ; ;1;3;1;1;2;1;2;2; ;1;2;2;3;2;1;1;2;1;2;1;2;4;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;2;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2;2;1;2;1;1;2;2;2;1;3;2;4;4;4;2;1;5;5;5;1;2;2;2;0;3;2;2;1;2;3;3;3;3;3;8;1;4;1;2
3482;1;913;,893590365123836;1965;53;8;2;1;1;2;4;3; ;2;1;1;30;2;2;38;2;2;0;0;0;0;2; ; ;1;3;2;1;2;1;1;1;1;2;3;3;4;3;2;1;2;1;2;2;2;2;2;2;1;1;2;2;2; ;2;1;1;2;1;1;1; ;1;1;1;1;1;1;3;1;2;2;2;2;1;2;2;1;2;1;pankkisysteemi;2;1;1;2;1;1;2;2;2; ; ; ; ; ; ;1;2;3;3;4;4;2;1;5;4;5;4;2;3;2;2;3;2;2;3;3;3;3;2;3;3;8;1;1;1;2
3482;1;914;,844412925351389;1970;48;7;2;1;1;1;2;3; ;2;1;1;7;2;2;38;1;2;2;0;9,2;0;2; ; ;6;1;1;1;3;1;2;1;1;2;1;2;2;1;1;2;2;1;1;1;3;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;1;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1;1;1;1;1;1;1;1;1;3;1;2;1;3;1;2;2;1;1;1;2;2;3;4;2;1;1;5;4;4;3;2;3;3;3;2;3;2;8;1;1;1;2
3482;1;915;,948002501118546;1974;44;6;2;1;1;2;3;2; ;4;1;1;16;2;2;39;2;2;0;0;0;0;2; ; ;3;2;2;2; ;1;3;1;2;4;2;2;2;2;2;1;1;2;1;2;3;2;2;2;2;2;2;2;2; ;2;2;1;2;3;3;2;1;1;1;2;1;4;1;4;2;2;1;2;2;1;1;1;1;2;1;monikulttuurisuutta;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;3;3;2;3;3;1;3;2;3;5;4;2;1;2;40;4;4;4;2;3;3;2;3;3;3;7;1;2;3;2
3482;1;916;,816200947844152;1954;64;10;2;1;1;1;2;2; ;4;2;1;0;2;2;30;2;2;0;0;0;0;2; ; ;5;2;2;1;3;1;2;1;2;3;1;2;5;2;2;1;2;2;2;1;3;3;1;2;2;2;2;2;2;2;2;1;1;1;3;1;1; ;2; ;2;1;3;1;3;1;2;2;2;2;2;1;2;1;2;1;Erityispedagogiikkaa;1;1;1;2;1;1;2;2;1;1;1;2;2;2;2;2;3;3;3;3;3;2;1;5;4;4;3;3;2;2;5;4;4;4;1;3;4;3;2;3;3;10;1;4;3;2
3482;1;917;,844412925351389;1964;54;8;2;1;1;1;1;2; ;4;1;1;24;2;2;50;2;2;0;0;0;0;2; ; ;11;2;1;1;3;1;2;1;2;2;1;1;2;1;1;1;1;1;2;2;3;2;1;2;2;2;2;2;2;2;2;1;1;2;3;1;1; ;2; ;1;2;1;1;10;2;2;1;2;1;1;1;1;2;1;2; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;3;3;1;1;1;4;4;3;3;3;2;1;0;3;3;3;2;3;3;4;3;3;3;8;2;2;1;1
3482;1;918;1,41560733384651;1995;23;2;2;1;1;2;5;3; ;2;1;1;6;2;2;38;2;2;0;0;0;0;2; ; ;4;3;2;1;3;2; ;2; ;4;1;1;1;2;2;2;1;1;1;1;4;1;1;2;2;2;2;2;2;2;2;1;1;2;3;3;2;3;1;1;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;1;2;1;1;1;2;1;1;1;2;3;2;2;2;4;2;3;4;3;5;4;3;1;2;5;4;3;2;1;4;5;4;3;3;3;10;1;1;2;2
